frequency,hour,stationname,weekday
0.0,16.0,Glisan to I-205 SB,Tuesday
0.0,12.0,Glisan to I-205 SB,Tuesday
0.0,22.0,Glisan to I-205 SB,Monday
3.0,9.0,Powell to I-205 NB,Tuesday
1.0,3.0,Foster NB,Friday
1.0,18.0,Columbia to I-205 SB,Tuesday
0.0,7.0,Johnson Cr NB,Sunday
1.0,3.0,Powell Blvd SB,Monday
0.0,23.0,Airportway EB to SB,Saturday
1.0,7.0,Johnson Cr NB,Thursday
0.0,1.0,Airportway EB to SB,Saturday
0.0,12.0,Columbia to I-205 NB,Friday
0.0,6.0,Columbia to I-205 SB,Tuesday
0.0,10.0,Sunnyside SB,Tuesday
0.0,18.0,Foster NB,Monday
0.0,16.0,Division SB,Sunday
1.0,7.0,Columbia to I-205 SB,Monday
0.0,1.0,Sunnyside SB,Tuesday
0.0,5.0,Sunnyside SB,Sunday
0.0,4.0,Division NB,Monday
0.0,20.0,Stark/Washington SB,Friday
0.0,10.0,Johnson Creek SB,Friday
0.0,22.0,Foster SB,Wednesday
0.0,20.0,Columbia to I-205 SB,Tuesday
1.0,10.0,Stark/Washington SB,Thursday
1.0,8.0,Stark/Washington SB,Thursday
1.0,3.0,Glisan to I-205 SB,Tuesday
0.0,12.0,Johnson Creek SB,Monday
0.0,2.0,Columbia to I-205 SB,Monday
0.0,21.0,Stark/Washington SB,Tuesday
0.0,13.0,Foster SB,Tuesday
1.0,6.0,Glisan to I-205 SB,Wednesday
0.0,13.0,Division SB,Monday
0.0,3.0,Sunnyside SB,Friday
0.0,12.0,Foster SB,Saturday
0.0,5.0,Glisan to I-205 SB,Thursday
0.0,17.0,Glisan to I-205 SB,Friday
0.0,19.0,Columbia to I-205 SB,Sunday
0.0,11.0,Airportway EB to SB,Thursday
0.0,2.0,Division NB,Sunday
0.0,19.0,Division NB,Tuesday
1.0,6.0,Powell Blvd SB,Tuesday
1.0,5.0,Glisan to I-205 SB,Saturday
0.0,23.0,Columbia to I-205 NB,Tuesday
0.0,18.0,Airportway EB to SB,Friday
0.0,6.0,Airportway EB to SB,Sunday
0.0,14.0,Columbia to I-205 NB,Friday
1.0,7.0,Foster NB,Saturday
0.0,13.0,Glisan to I-205 SB,Wednesday
0.0,19.0,Johnson Creek SB,Wednesday
0.0,2.0,Foster NB,Saturday
0.0,10.0,Airportway EB to SB,Wednesday
0.0,1.0,Johnson Cr NB,Wednesday
0.0,17.0,Powell to I-205 NB,Monday
0.0,20.0,Powell to I-205 NB,Friday
1.0,10.0,Columbia to I-205 SB,Thursday
0.0,5.0,Airportway WB to SB,Sunday
0.0,17.0,Sunnyside SB,Sunday
0.0,6.0,Airportway EB to SB,Sunday
1.0,20.0,Sunnyside NB,Saturday
0.0,3.0,Powell Blvd SB,Wednesday
0.0,5.0,Columbia to I-205 NB,Saturday
0.0,3.0,Sunnyside NB,Monday
0.0,1.0,Powell Blvd SB,Wednesday
0.0,9.0,Glisan to I-205 SB,Friday
0.0,7.0,Powell to I-205 NB,Thursday
0.0,14.0,Stark/Washington SB,Sunday
0.0,8.0,Columbia to I-205 NB,Wednesday
0.0,10.0,Johnson Cr NB,Friday
