frequency,hour,stationname,weekday
1.0,0.0,Powell Blvd SB,2011-09-15
1.0,0.0,Division NB,2011-09-15
4.0,0.0,Powell to I-205 NB,2011-09-15
5.0,0.0,Sunnyside NB,2011-09-15
4.0,0.0,Sunnyside SB,2011-09-15
3.0,0.0,Johnson Creek SB,2011-09-15
